ID,CTYNAME,SEX,AGEGRP,IMPRACE,Asian,Black,Latino,Native American,Other,White,RESPOP,,
AM119,Anoka County,M,11,9,0,0,0,0,1,1,2,,
AM1110,Anoka County,M,11,10,0,1,0,1,0,0,9,,
AM1113,Anoka County,M,11,13,1,0,0,1,0,0,2,,
AM1115,Anoka County,M,11,15,1,0,0,0,1,0,2,,
AM1116,Anoka County,M,11,16,0,1,0,1,0,1,4,,
AM1121,Anoka County,M,11,21,1,0,0,0,1,1,2,,
AM121,Anoka County,M,12,1,0,0,0,0,0,1,9803,,
AM122,Anoka County,M,12,2,0,1,0,0,0,0,195,,
AM123,Anoka County,M,12,3,0,0,0,1,0,0,42,,
AM124,Anoka County,M,12,4,1,0,0,0,0,0,219,,
AM125,Anoka County,M,12,5,0,0,0,0,1,0,2,,
AM126,Anoka County,M,12,6,0,0,0,0,0,0,5,,
AM127,Anoka County,M,12,7,0,0,0,1,0,1,41,,
AM128,Anoka County,M,12,8,1,0,0,0,0,1,14,,
AM129,Anoka County,M,12,9,0,0,0,0,1,1,2,,
AM1210,Anoka County,M,12,10,0,1,0,1,0,0,3,,
AM1213,Anoka County,M,12,13,1,0,0,1,0,0,2,,
AM1216,Anoka County,M,12,16,0,1,0,1,0,1,3,,
AM131,Anoka County,M,13,1,0,0,0,0,0,1,7664,,
AM132,Anoka County,M,13,2,0,1,0,0,0,0,117,,
AM133,Anoka County,M,13,3,0,0,0,1,0,0,47,,
AM134,Anoka County,M,13,4,1,0,0,0,0,0,179,,
AM135,Anoka County,M,13,5,0,0,0,0,1,0,2,,
AM136,Anoka County,M,13,6,0,0,0,0,0,0,1,,
AM137,Anoka County,M,13,7,0,0,0,1,0,1,25,,
AM138,Anoka County,M,13,8,1,0,0,0,0,1,7,,
AM1312,Anoka County,M,13,12,0,1,0,0,1,0,1,,
AM1313,Anoka County,M,13,13,1,0,0,1,0,0,1,,
AM1316,Anoka County,M,13,16,0,1,0,1,0,1,4,,
AM1321,Anoka County,M,13,21,1,0,0,0,1,1,1,,
AM1331,Anoka County,M,13,31,1,1,0,1,1,1,1,,
AM141,Anoka County,M,14,1,0,0,0,0,0,1,5474,,
AM142,Anoka County,M,14,2,0,1,0,0,0,0,62,,
AM143,Anoka County,M,14,3,0,0,0,1,0,0,31,,
AM144,Anoka County,M,14,4,1,0,0,0,0,0,92,,
AM145,Anoka County,M,14,5,0,0,0,0,1,0,3,,
AM146,Anoka County,M,14,6,0,0,0,0,0,0,1,,
AM147,Anoka County,M,14,7,0,0,0,1,0,1,22,,
